,Accuracy,Shape
317,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
318,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
319,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
320,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
321,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
322,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
323,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
324,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
325,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
326,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
327,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
328,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
329,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
330,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
331,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
332,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
333,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
334,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
335,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
336,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
337,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
338,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
339,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
340,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
341,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
342,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
343,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
344,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
345,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
346,"(0.790948275862069, 0.4756756756756757, 0.3768411537183456)","(0.16748768472906403, 3.5243757431629006, 0.16534391534391535)"
347,"(0.7887931034482759, 0.4731182795698925, 0.3710564348748123)","(0.16995073891625614, 3.56242568370987, 0.1626984126984127)"
348,"(0.7887931034482759, 0.4731182795698925, 0.3710564348748123)","(0.16995073891625614, 3.56242568370987, 0.1626984126984127)"
349,"(0.7887931034482759, 0.4731182795698925, 0.3710564348748123)","(0.16995073891625614, 3.56242568370987, 0.1626984126984127)"
350,"(0.7887931034482759, 0.4731182795698925, 0.3710564348748123)","(0.16995073891625614, 3.56242568370987, 0.1626984126984127)"
