,Accuracy,Shape
1505,"(0.7133620689655172, 0.44813278008298757, 0.2549541888563387)","(0.3054187192118227, 11.143876337693222, 0.2857142857142857)"
1506,"(0.7133620689655172, 0.44813278008298757, 0.2549541888563387)","(0.3054187192118227, 11.143876337693222, 0.2857142857142857)"
1507,"(0.7133620689655172, 0.44813278008298757, 0.2549541888563387)","(0.3054187192118227, 11.143876337693222, 0.2857142857142857)"
1508,"(0.7133620689655172, 0.44813278008298757, 0.2549541888563387)","(0.3054187192118227, 11.143876337693222, 0.2857142857142857)"
1509,"(0.7133620689655172, 0.44813278008298757, 0.2549541888563387)","(0.3054187192118227, 11.143876337693222, 0.2857142857142857)"
1510,"(0.7133620689655172, 0.44813278008298757, 0.2549541888563387)","(0.3054187192118227, 11.143876337693222, 0.2857142857142857)"
1511,"(0.7133620689655172, 0.44813278008298757, 0.2549541888563387)","(0.3054187192118227, 11.143876337693222, 0.2857142857142857)"
1512,"(0.7112068965517241, 0.4462809917355372, 0.25148577314917203)","(0.3078817733990148, 11.200951248513674, 0.2830687830687831)"
1513,"(0.7112068965517241, 0.4462809917355372, 0.25148577314917203)","(0.3078817733990148, 11.200951248513674, 0.2830687830687831)"
1514,"(0.7112068965517241, 0.4462809917355372, 0.25148577314917203)","(0.3078817733990148, 11.200951248513674, 0.2830687830687831)"
1515,"(0.7112068965517241, 0.4462809917355372, 0.25148577314917203)","(0.3078817733990148, 11.200951248513674, 0.2830687830687831)"
1516,"(0.7112068965517241, 0.4462809917355372, 0.25148577314917203)","(0.3078817733990148, 11.200951248513674, 0.2830687830687831)"
1517,"(0.7112068965517241, 0.4462809917355372, 0.25148577314917203)","(0.3078817733990148, 11.200951248513674, 0.2830687830687831)"
1518,"(0.7112068965517241, 0.4462809917355372, 0.25148577314917203)","(0.3078817733990148, 11.200951248513674, 0.2830687830687831)"
1519,"(0.7112068965517241, 0.4462809917355372, 0.25148577314917203)","(0.3078817733990148, 11.200951248513674, 0.2830687830687831)"
1520,"(0.709051724137931, 0.4444444444444444, 0.2480423493273951)","(0.3103448275862069, 11.593341260404282, 0.3187830687830688)"
1521,"(0.709051724137931, 0.4444444444444444, 0.2480423493273951)","(0.3103448275862069, 11.593341260404282, 0.3187830687830688)"
1522,"(0.709051724137931, 0.4444444444444444, 0.2480423493273951)","(0.3103448275862069, 11.593341260404282, 0.3187830687830688)"
1523,"(0.709051724137931, 0.4444444444444444, 0.2480423493273951)","(0.3103448275862069, 11.593341260404282, 0.3187830687830688)"
1524,"(0.709051724137931, 0.4444444444444444, 0.2480423493273951)","(0.3103448275862069, 11.593341260404282, 0.3187830687830688)"
1525,"(0.709051724137931, 0.4444444444444444, 0.2480423493273951)","(0.3103448275862069, 11.593341260404282, 0.3187830687830688)"
1526,"(0.709051724137931, 0.4444444444444444, 0.2480423493273951)","(0.3103448275862069, 11.593341260404282, 0.3187830687830688)"
1527,"(0.7068965517241379, 0.4426229508196721, 0.24462336734207657)","(0.312807881773399, 11.424494649227112, 0.31613756613756616)"
1528,"(0.7068965517241379, 0.4426229508196721, 0.24462336734207657)","(0.312807881773399, 11.424494649227112, 0.31613756613756616)"
