,Accuracy,Shape
1584,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1585,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1586,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1587,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1588,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1589,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1590,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1591,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1592,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1593,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1594,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1595,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1596,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1597,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1598,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1599,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1600,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1601,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1602,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1603,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
